epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1416.02,1.23538,0.79903,1.09511,0.64382,0.45039,0.54214,0.25182,1.8885,1.08446,1.60254,0.00091302,0.00091302,0.00091302
56,1441.1,1.30948,0.86234,1.15166,0.59785,0.49793,0.55822,0.25971,1.90236,1.11433,1.61607,0.000909353,0.000909353,0.000909353
57,1466.31,1.17725,0.7866,1.09707,0.68571,0.52129,0.61361,0.24759,1.87639,1.06074,1.63275,0.000905687,0.000905687,0.000905687
58,1491.59,1.1849,0.80591,1.09587,0.64767,0.53141,0.61644,0.25679,1.86844,1.06426,1.64258,0.000902021,0.000902021,0.000902021
59,1517.03,1.16869,0.80387,1.09197,0.65426,0.56413,0.6168,0.28653,1.85458,1.08597,1.60279,0.000898355,0.000898355,0.000898355
60,1542.74,1.25931,0.87315,1.12643,0.66444,0.59747,0.6747,0.3048,1.83613,1.066,1.58046,0.000894688,0.000894688,0.000894688
61,1568.23,1.24888,0.79421,1.14532,0.68995,0.54732,0.63548,0.29788,1.81756,1.06202,1.55898,0.000891022,0.000891022,0.000891022
62,1593.18,1.19114,0.80107,1.12545,0.54759,0.68194,0.62657,0.29496,1.78106,1.04837,1.52011,0.000887356,0.000887356,0.000887356
63,1618.21,1.26503,0.84071,1.12975,0.56044,0.61258,0.6016,0.29005,1.77853,0.98417,1.48834,0.000883689,0.000883689,0.000883689
64,1643.1,1.16633,0.76955,1.09522,0.53807,0.64311,0.55831,0.25225,1.81426,0.99802,1.5108,0.000880023,0.000880023,0.000880023
65,1668.14,1.19695,0.76623,1.09969,0.61772,0.5914,0.56173,0.23163,1.8757,1.02675,1.56739,0.000876357,0.000876357,0.000876357
66,1692.97,1.16421,0.77512,1.10005,0.69117,0.64035,0.63551,0.26495,1.81607,1.0044,1.54246,0.000872691,0.000872691,0.000872691
